shivamb/in-depth-analysis-visualisations-avito,444,13,Beginner%Data Visualization%Exploratory Data Analysis%Feature Engineering%Text Data,77
mrkmakr/covid-ae-pretrain-gnn-attn-cnn,Copy & Edit,927,GPU,87
tarunpaparaju/titanic-competition-how-top-lb-got-their-score,584,6,pandas,108
nitishabharathi/the-story-of-covid-19-in-india-eda-and-prediction,520,52,Beginner%Data Visualization%Exploratory Data Analysis%India,159
cdeotte/rotation-augmentation-gpu-tpu-0-96,432,3,GPU%TPU,63
dimitreoliveira/deep-learning-for-time-series-forecasting,1084,6,TensorFlow%Deep Learning%Neural Networks%LSTM,94
arindamgot/eda-prophet-mlp-neural-network-forecasting,445,8,Data Visualization%Exploratory Data Analysis%Time Series Analysis,68
tanulsingh077/end-to-end-object-detection-with-transformers-detr,457,3,GPU%Deep Learning,74
tanulsingh077/prostate-cancer-in-depth-understanding-eda-model,143,11,Data Visualization%Exploratory Data Analysis%Computer Vision,43
aleksandradeis/globalwheatdetection-eda,301,9,,50
artgor/brute-force-feature-engineering,451,12,,72
willkoehrsen/automated-feature-engineering-basics,629,5,Programming%Beginner%Feature Engineering,59
cdeotte/modified-naive-bayes-santander-0-899,380,6,,105
shivamb/semi-supervised-classification-using-autoencoders,455,4,Deep Learning%Binary Classification,65
sohier/competition-api-detailed-introduction,950,3,,44
xhlulu/severstal-simple-2-step-pipeline,962,9,pandas%NumPy%Classification%Data Cleaning%Keras,61
nanomathias/feature-engineering-importance-testing,486,7,Programming%Feature Engineering,108
sbongo/do-pretrained-embeddings-give-you-the-extra-edge,330,2,Beginner%NLP%Neural Networks,30
yasufuminakama/moa-pytorch-nn-starter,509,5,GPU,26
tanulsingh077/steganalysis-complete-understanding-and-model,183,12,Exploratory Data Analysis%Feature Engineering%CNN,34
alexioslyon/lgbm-baseline,1587,5,pandas%NumPy%TensorFlow%sklearn%Keras,61
artgor/seismic-data-eda-and-baseline,625,21,Data Visualization%Exploratory Data Analysis%Feature Engineering%Regression%Earth Science,42
tarunpaparaju/ion-switching-competition-signal-eda,202,65,Data Visualization%Exploratory Data Analysis%Biology%Signal Processing,70
prashansdixit/coleridge-initiative-eda-baseline-model,907,15,Matplotlib%NLP%Social Networks%NLTK%Intermediate,62
jhoward/improved-lstm-baseline-glove-dropout,948,4,,46
thedrcat/hpa-single-cell-classification-eda,268,19,Biology,40
robikscube/kaggle-deepfake-detection-introduction,559,20,,67
gaborfodor/dog-breed-pretrained-keras-models-lb-0-3,1319,19,Deep Learning%CNN%Computer Vision%Animals,74
rhtsingh/utilizing-transformer-representations-efficiently,117,9,Beginner%Deep Learning%NLP%Transformers%Transfer Learning,60
gemartin/load-data-reduce-memory-usage,108,2,,39
kabure/eda-feat-engineering-encode-conquer,195,26,pandas%Matplotlib%NumPy%Seaborn%Beginner,44
dansbecker/finding-your-files-in-kaggle-kernels,457,2,pandas,114
erikbruin/google-analytics-eda-lightgbm-screenshots,354,23,Exploratory Data Analysis,72
iamleonie/intro-to-indoor-location-navigation,326,13,pandas%Beginner%Software%Data Analytics%Geospatial Analysis,51
tarunpaparaju/jigsaw-multilingual-toxicity-eda-models,410,44,Data Visualization%Exploratory Data Analysis%NLP%Text Data,64
gpreda/2019-data-science-bowl-eda,279,14,Beginner%Data Visualization%Exploratory Data Analysis,48
olegtrott/the-perfect-score-script,298,34,,95
willkoehrsen/a-complete-introduction-and-walkthrough,662,36,Beginner%Data Visualization%Exploratory Data Analysis%Classification,64
dansbecker/partial-dependence-plots,1314,14,Data Visualization%Real Estate,111
shivamb/spending-for-ms-in-data-science-worth-it,116,24,Data Visualization%Survey Analysis,62
subinium/kaggle-2020-visualization-analysis,207,24,Data Visualization%Survey Analysis,96
pavansanagapati/14-simple-tips-to-save-ram-memory-for-1-gb-dataset,84,36,,55
ekhtiar/resunet-a-baseline-on-tensorflow,609,39,Data Visualization%Deep Learning%CNN,55
abhishek/two-longformers-are-better-than-1,907,5,GPU,54
cdeotte/rapids-cuml-tfidfvectorizer-and-knn,474,3,Arts and Entertainment,71
gogo827jz/jane-street-neural-network-starter,1078,21,,95
ajeffries/connectx-getting-started,2226,8,,49
archaeocharlie/a-beginner-s-approach-to-classification,2882,3,,97
aimind/bottleneck-encoder-mlp-keras-tuner-8601c5,1867,25,GPU,101
its7171/cv-strategy,312,5,,34
faressayah/natural-language-processing-nlp-for-beginners,232,20,pandas%Beginner%sklearn%NLP%Text Data,50
cast42/exploring-features,745,14,Data Visualization%Exploratory Data Analysis,47
jeffd23/10-classifier-showdown-in-scikit-learn,669,3,,63
xhlulu/aptos-2019-densenet-keras-starter,981,20,pandas%Matplotlib%NumPy%TensorFlow%Classification,78
muonneutrino/exploration-transforming-images-in-python,302,2,Data Visualization%Computer Vision,29
awsaf49/great-barrier-reef-yolov5-infer,1496,46,,38
theoviel/load-the-totality-of-the-data,214,6,,55
cdeotte/titanic-wcg-xgboost-0-84688,435,43,Data Visualization%Feature Engineering,43
ragnar123/optiver-realized-volatility-lgbm-baseline,890,9,pandas%NumPy%LightGBM,43
agentauers/incredible-tpus-finetune-effnetb0-b6-at-once,790,8,TPU,112
braquino/convert-to-regression,1600,24,,86
felipemello/why-your-model-is-overfitting-not-making-progress,96,12,,71
minhtriet/a-beginner-guide-for-sale-data-prediction,1268,9,Beginner,46
dansbecker/exercise-build-your-first-machine-learning-model,118650,25,,55
pestipeti/competition-metric-details-script,164,4,Beginner,50
ihelon/brain-tumor-eda-with-animations-and-modeling,572,6,Beginner%Data Visualization%Exploratory Data Analysis%Software%Image Data,59
prashant111/comprehensive-guide-on-feature-selection,174,34,,34
willkoehrsen/automated-model-tuning,488,6,,34
shonenkov/train-inference-gpu-baseline,801,3,GPU,62
kanncaa1/recurrent-neural-network-with-pytorch,504,51,pandas%Programming%Matplotlib%NumPy%Beginner,26
mdfahimreshm/bert-in-depth-understanding,66,3,NLP%Text Data,26
jeffd23/catdognet-keras-convnet-starter,1210,6,,88
cdeotte/rapids-svr-boost-17-8,860,8,pandas%Matplotlib%NumPy%cv2%Jobs and Career,60
rluethy/efficientnet3d-with-one-mri-type,1443,20,GPU,66
ulrich07/osic-multiple-quantile-regression-starter,902,10,,59
kyakovlev/m5-simple-fe,635,4,,49
boliu0/visualizing-all-task-pairs-with-gridlines,218,2,,20
mhviraf/a-new-baseline-for-dsb-2019-catboost-model,436,6,,61
toregil/welcome-to-deep-learning-cnn-99,759,47,,75
xhlulu/disaster-nlp-keras-bert-using-tfhub,734,11,GPU,66
andradaolteanu/siim-melanoma-competition-eda-augmentations,155,8,Deep Learning%Image Data%Cancer%Computer Vision,38
dejavu23/house-prices-eda-to-ml-beginner,473,115,Beginner%Data Visualization%Exploratory Data Analysis,69
